,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
3,207940,100,xg,17,0.588235294,1500,771.4285714,1.944444444,15000,5400,2.777777778,
0,207940,150,lg,32,0.375,1108.333333,2005.555556,0.552631579,13300,36100,0.368421053,
1,207940,150,dt,28,0.607142857,1205.882353,720,1.674836601,20500,7200,2.847222222,
2,207940,150,rf,41,0.414634146,1076.470588,939.1304348,1.14624183,18300,21600,0.847222222,
3,207940,150,xg,24,0.666666667,1043.75,857.1428571,1.217708333,16700,6000,2.783333333,
0,207940,200,lg,17,0.529411765,2055.555556,2757.142857,0.745538284,18500,19300,0.958549223,
1,207940,200,dt,18,0.333333333,2316.666667,1391.666667,1.664670659,13900,16700,0.832335329,
2,207940,200,rf,40,0.475,947.3684211,1468.421053,0.64516129,18000,27900,0.64516129,
3,207940,200,xg,19,0.421052632,1262.5,727.2727273,1.7359375,10100,8000,1.2625,
0,207940,250,lg,16,0.4375,1442.857143,2500,0.577142857,10100,17500,0.577142857,
1,207940,250,dt,24,0.416666667,2040,1272.727273,1.602857143,20400,14000,1.457142857,
2,207940,250,rf,51,0.411764706,919.047619,892.3076923,1.029967159,19300,23200,0.831896552,
3,207940,250,xg,29,0.551724138,1218.75,1169.230769,1.042351974,19500,15200,1.282894737,
0,051910,20,lg,21,0.428571429,2011.111111,841.6666667,2.389438944,18100,10100,1.792079208,3.979166667
1,051910,20,dt,21,0.476190476,2130,1290.909091,1.65,21300,14200,1.5,
2,051910,20,rf,38,0.552631579,1047.619048,1475,0.710250202,22000,23600,0.93220339,
3,051910,20,xg,34,0.5,1082.352941,1181.25,0.916277622,18400,18900,0.973544974,
0,051910,50,lg,5,0.4,950,3566.666667,0.26635514,1900,10700,0.177570093,
1,051910,50,dt,15,0.8,1591.666667,1600,0.994791667,19100,4800,3.979166667,
2,051910,50,rf,45,0.422222222,1173.684211,800,1.467105263,22300,20000,1.115,
3,051910,50,xg,28,0.464285714,961.5384615,1150,0.836120401,12500,16100,0.776397516,
0,051910,100,lg,24,0.375,1444.444444,878.5714286,1.644083107,13000,12300,1.056910569,
1,051910,100,dt,37,0.459459459,1170.588235,1310.526316,0.893219939,19900,24900,0.799196787,
2,051910,100,rf,35,0.457142857,1481.25,1194.736842,1.239812775,23700,22700,1.044052863,
3,051910,100,xg,26,0.538461538,921.4285714,1075,0.857142857,12900,12900,1,
0,051910,150,lg,18,0.444444444,1137.5,1144.444444,0.993932039,9100,10300,0.883495146,
1,051910,150,dt,42,0.571428571,1016.666667,1194.117647,0.851395731,24400,20300,1.201970443,
2,051910,150,rf,27,0.481481481,1646.153846,1641.666667,1.002733307,21400,19700,1.086294416,
3,051910,150,xg,33,0.545454545,1250,1185.714286,1.054216867,22500,16600,1.355421687,
0,051910,200,lg,19,0.421052632,1562.5,930,1.680107527,12500,9300,1.344086022,
1,051910,200,dt,30,0.566666667,1811.764706,1666.666667,1.087058824,30800,20000,1.54,
2,051910,200,rf,19,0.473684211,2477.777778,1370,1.808596918,22300,13700,1.627737226,
3,051910,200,xg,25,0.4,1560,1033.333333,1.509677419,15600,15500,1.006451613,
0,051910,250,lg,19,0.368421053,1585.714286,845.4545455,1.875576037,11100,9300,1.193548387,
1,051910,250,dt,14,0.571428571,2400,2750,0.872727273,19200,16500,1.163636364,
2,051910,250,rf,23,0.652173913,1040,2350,0.442553191,15600,18800,0.829787234,
3,051910,250,xg,32,0.53125,1723.529412,1330.769231,1.295137708,29300,17300,1.693641618,
0,006400,20,lg,21,0.666666667,1028.571429,1616.666667,0.63622975,14400,9700,1.484536082,2.730769231
1,006400,20,dt,21,0.333333333,1328.571429,1307.692308,1.015966387,9300,17000,0.547058824,
2,006400,20,rf,33,0.393939394,1530.769231,1141.176471,1.341395718,19900,19400,1.025773196,
3,006400,20,xg,20,0.3,1850,1042.857143,1.773972603,11100,14600,0.760273973,
0,006400,50,lg,8,0.375,2233.333333,1160,1.925287356,6700,5800,1.155172414,
1,006400,50,dt,23,0.391304348,1444.444444,1121.428571,1.288039632,13000,15700,0.828025478,
2,006400,50,rf,37,0.675675676,1420,1181.818182,1.201538462,35500,13000,2.730769231,
3,006400,50,xg,39,0.564102564,890.9090909,1056.25,0.843464228,19600,16900,1.159763314,
0,006400,100,lg,11,0.272727273,2700,1875,1.44,8100,15000,0.54,
1,006400,100,dt,23,0.434782609,990,1741.666667,0.568421053,9900,20900,0.473684211,
2,006400,100,rf,32,0.5625,1355.555556,1453.846154,0.93239271,24400,18900,1.291005291,
3,006400,100,xg,32,0.625,1190,1190.909091,0.999236641,23800,13100,1.816793893,
0,006400,150,lg,16,0.375,1750,1110,1.576576577,10500,11100,0.945945946,
1,006400,150,dt,40,0.45,1016.666667,909.5238095,1.117801047,18300,19100,0.958115183,
2,006400,150,rf,26,0.615384615,1162.5,1300,0.894230769,18600,13000,1.430769231,
3,006400,150,xg,31,0.451612903,1621.428571,1673.333333,0.968981218,22700,25100,0.90438247,
0,006400,200,lg,16,0.375,1750,1110,1.576576577,10500,11100,0.945945946,
1,006400,200,dt,7,0.571428571,600,2900,0.206896552,2400,8700,0.275862069,
2,006400,200,rf,25,0.44,1645.454545,1700,0.967914439,18100,22100,0.819004525,
3,006400,200,xg,33,0.454545455,1486.666667,905.5555556,1.641717791,22300,16300,1.36809816,
0,006400,250,lg,18,0.388888889,2871.428571,1845.454545,1.555946517,20100,20300,0.990147783,
1,006400,250,dt,7,0.571428571,750,1566.666667,0.478723404,3000,4700,0.638297872,
2,006400,250,rf,22,0.545454545,933.3333333,1300,0.717948718,11200,13000,0.861538462,
3,006400,250,xg,31,0.548387097,1711.764706,1592.857143,1.074650488,29100,22300,1.304932735,
0,035420,20,lg,22,0.454545455,2080,1750,1.188571429,20800,17500,1.188571429,1.897435897
1,035420,20,dt,30,0.566666667,1741.176471,1300,1.339366516,29600,15600,1.897435897,
2,035420,20,rf,38,0.447368421,1600,1036.842105,1.543147208,27200,19700,1.38071066,
3,035420,20,xg,23,0.47826087,1136.363636,900,1.262626263,12500,10800,1.157407407,
0,035420,50,lg,11,0.181818182,2850,1914.285714,1.48880597,5700,13400,0.425373134,
1,035420,50,dt,34,0.558823529,1910.526316,1726.666667,1.106482422,36300,25900,1.401544402,
2,035420,50,rf,41,0.292682927,1825,1442.857143,1.264851485,21900,40400,0.542079208,
3,035420,50,xg,17,0.529411765,600,1587.5,0.377952756,5400,12700,0.42519685,
